City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,al jubayl,27.0112,49.6583,36.63,32,0,5.11,SA,1718607578
84,carnarvon,-24.8667,113.6333,18.2,94,100,8.63,AU,1718607862
85,magaria,12.9983,8.9099,28.66,49,16,4.41,NE,1718607863
86,qarchi gak,37.04,66.7889,39.29,12,71,8.09,AF,1718607865
87,dronero,44.4657,7.3513,21.21,67,4,1.84,IT,1718607866
88,la passe,45.5549,-0.8967,17.21,98,100,3.21,FR,1718607867
89,puerto san jose,13.9256,-90.8244,24.84,97,100,14.05,GT,1718607868
90,st. john's,47.5649,-52.7093,7.66,95,20,3.13,CA,1718607614
91,crane,31.3974,-102.3501,29.44,38,0,12.09,US,1718607870
92,georgetown,5.4112,100.3354,30.97,62,20,2.57,MY,1718607684
93,codrington,-38.2667,141.9667,11.71,62,100,3.28,AU,1718607872
94,chernyshevsk,52.5243,117.0174,12.2,70,100,0.76,RU,1718607873
95,utrik,11.2278,169.8474,28.2,80,25,7.05,MH,1718607875
96,springbok,-29.6643,17.8865,9.32,87,100,8.23,ZA,1718607742
97,ta`u,-14.2336,-169.5144,27.59,78,29,9.0,AS,1718607877
98,afaahiti,-17.75,-149.2833,25.93,78,58,3.78,PF,1718607878
99,jinji,23.2281,110.8261,31.97,77,100,2.9,CN,1718607879
100,belomorsk,64.5232,34.7668,22.05,39,99,2.89,RU,1718607880
101,okhotsk,59.3833,143.3,9.16,79,100,4.17,RU,1718607881
102,ust'-kulom,61.6864,53.6902,21.21,43,0,3.85,RU,1718607882
103,sisimiut,66.9395,-53.6735,6.81,88,100,1.91,GL,1718607883
104,vila franca do campo,37.7167,-25.4333,19.23,99,98,3.09,PT,1718607885
105,novodvinsk,64.4165,40.8122,21.86,44,32,0.96,RU,1718607886
106,san luis,-33.295,-66.3356,10.78,48,1,3.87,AR,1718607670
107,chernyshevskiy,63.0128,112.4714,17.7,34,96,1.13,RU,1718607888
108,trinidad,-14.8333,-64.9,21.8,87,6,0.75,BO,1718607889
109,kaa-khem,51.6833,94.7333,28.0,36,100,2.77,RU,1718607890
110,sitka,57.0531,-135.33,11.94,82,100,4.63,US,1718607891
111,west island,-12.1568,96.8225,25.99,94,75,7.72,CC,1718607892
112,anadyr,64.75,177.4833,12.28,62,0,4.0,RU,1718607894
113,caazapa,-26.15,-56.4,19.91,99,94,1.4,PY,1718607816
114,chinchilla,-26.75,150.6333,13.9,39,0,0.89,AU,1718607897
115,nyurba,63.2842,118.3319,12.78,59,95,3.32,RU,1718607898
116,igarka,67.4667,86.5833,9.45,47,97,4.47,RU,1718607899
117,taltal,-25.4,-70.4833,14.67,82,0,0.39,CL,1718607900
118,tughyl,47.7252,84.2063,20.26,67,88,5.48,KZ,1718607902
119,longyearbyen,78.2186,15.6401,6.91,70,40,6.69,SJ,1718607797
120,emerald,-23.5333,148.1667,22.41,28,0,2.43,AU,1718607904
121,guadalupe y calvo,26.1,-106.9667,14.9,71,10,2.05,MX,1718607905
122,thompson,55.7435,-97.8558,6.09,93,100,5.66,CA,1718607906
123,sungai penuh,-2.0833,101.3833,21.24,98,97,1.32,ID,1718607741
124,olonkinbyen,70.9221,-8.7187,-0.72,70,100,2.5,SJ,1718607908
125,choibalsan,48.0667,114.5,30.93,20,13,3.42,MN,1718607910
126,lihue,21.9789,-159.3672,25.58,79,40,7.2,US,1718607912
127,ust-nera,64.5667,143.2,18.49,56,98,1.51,RU,1718607913
128,ertil',51.8406,40.8056,24.78,66,1,6.32,RU,1718607914
